theta(град)   d_times   d_db
66.813407   1.296880   1.128999
66.903452   1.299696   1.138417
66.993497   1.302506   1.147798
67.083542   1.305312   1.157142
67.173587   1.308112   1.166450
67.263632   1.310908   1.175721
67.353677   1.313698   1.184956
67.443722   1.316483   1.194154
67.533767   1.319263   1.203315
67.623812   1.322038   1.212440
67.713857   1.324808   1.221529
67.803902   1.327572   1.230580
67.893947   1.330331   1.239596
67.983992   1.333084   1.248574
68.074037   1.335831   1.257516
68.164082   1.338573   1.266422
68.254127   1.341310   1.275291
68.344172   1.344040   1.284123
68.434217   1.346765   1.292919
68.524262   1.349484   1.301678
68.614307   1.352197   1.310401
68.704352   1.354905   1.319087
68.794397   1.357606   1.327737
68.884442   1.360301   1.336350
68.974487   1.362990   1.344927
69.064532   1.365673   1.353467
69.154577   1.368349   1.361970
69.244622   1.371020   1.370437
69.334667   1.373684   1.378867
69.424712   1.376341   1.387261
69.514757   1.378992   1.395619
69.604802   1.381637   1.403939
69.694847   1.384275   1.412224
69.784892   1.386906   1.420471
69.874937   1.389531   1.428682
69.964983   1.392149   1.436857
70.055028   1.394760   1.444995
70.145073   1.397364   1.453097
70.235118   1.399962   1.461162
70.325163   1.402552   1.469190
70.415208   1.405135   1.477182
70.505253   1.407712   1.485137
70.595298   1.410281   1.493056
70.685343   1.412843   1.500939
70.775388   1.415398   1.508785
70.865433   1.417945   1.516594
70.955478   1.420485   1.524367
71.045523   1.423018   1.532103
71.135568   1.425543   1.539802
71.225613   1.428060   1.547466
71.315658   1.430570   1.555092
71.405703   1.433073   1.562682
71.495748   1.435567   1.570236
71.585793   1.438054   1.577753
71.675838   1.440533   1.585233
71.765883   1.443005   1.592677
71.855928   1.445468   1.600085
71.945973   1.447923   1.607456
72.036018   1.450371   1.614790
72.126063   1.452810   1.622088
72.216108   1.455241   1.629349
72.306153   1.457664   1.636574
72.396198   1.460078   1.643762
72.486243   1.462485   1.650913
72.576288   1.464883   1.658029
72.666333   1.467272   1.665107
72.756378   1.469653   1.672149
72.846423   1.472026   1.679155
72.936468   1.474390   1.686124
73.026513   1.476745   1.693056
73.116558   1.479092   1.699952
73.206603   1.481430   1.706811
73.296648   1.483759   1.713634
73.386693   1.486079   1.720420
73.476738   1.488391   1.727170
73.566783   1.490693   1.733883
73.656828   1.492987   1.740560
73.746873   1.495271   1.747200
